"persona_id","anio","comuna","pos_x_km","pos_y_km","satisfaccion_vida","ice","formal","cotiza_ss","horas_sem","ingreso_lab","edad","mujer","educ_anios","estrato","s_comercio","s_manufactura","s_construccion","s_alojamiento","s_transporte","s_serv_domestico","s_salud_educ","s_finanzas_prof","g_comercio","g_manufactura","g_construccion","g_alojamiento","g_transporte","g_serv_domestico","g_salud_educ","g_finanzas_prof"
773,2022,22,0.424,14.616,10,86,1,1,41,2490000,49,1,7,1,0.1458,0.6478,0.0049,0.0835,0.0259,0.058,0.0154,0.0187,4.5,3.2,6,9,5,1,3.5,4
774,2022,14,6.583,12.107,7,53.5,0,1,43,1300000,47,1,5,1,0.1397,0.5451,0.0279,0.0568,0.1007,0.0122,0.0806,0.037,4.5,3.2,6,9,5,1,3.5,4
775,2022,16,4.285,13.508,8,56.1,0,0,37,640000,50,1,6,1,0.2353,0.5712,0.0066,0.0352,0.0455,0.0349,0.0374,0.0339,4.5,3.2,6,9,5,1,3.5,4
776,2022,9,5.866,9.964,8,54.7,1,0,48,1050000,46,1,5,2,0.2084,0.0539,0.0158,0.1464,0.1137,0.2307,0.0566,0.1745,4.5,3.2,6,9,5,1,3.5,4
777,2022,8,6.232,4.585,9,80.4,1,1,39,3050000,50,1,15,6,0.1636,0.0094,0.0937,0.0756,0.0197,0.0477,0.3963,0.194,4.5,3.2,6,9,5,1,3.5,4
778,2022,10,2.6,2.832,9,86.8,1,1,38,2430000,44,1,11,3,0.1524,0.0182,0.0724,0.1422,0.0165,0.2663,0.2234,0.1086,4.5,3.2,6,9,5,1,3.5,4
779,2022,22,0.2,12.254,9,55.6,1,1,42,950000,50,1,6,1,0.0898,0.6091,0.0177,0.053,0.046,0.1192,0.0244,0.0408,4.5,3.2,6,9,5,1,3.5,4
780,2022,2,8.921,10.03,8,56.6,0,0,32,1490000,36,1,8,3,0.1979,0.0655,0.0993,0.0677,0.3498,0.0644,0.0982,0.0572,4.5,3.2,6,9,5,1,3.5,4
781,2022,2,7.456,9.54,8,62.9,1,1,50,1670000,27,0,5,2,0.1222,0.1501,0.0654,0.0624,0.2785,0.1321,0.069,0.1203,4.5,3.2,6,9,5,1,3.5,4
782,2022,5,6.743,12.221,8,52,0,1,46,1490000,33,0,9,2,0.1881,0.293,0.0659,0.0821,0.2108,0.0253,0.0738,0.061,4.5,3.2,6,9,5,1,3.5,4
783,2022,14,7.33,13.486,8,42.2,0,0,39,590000,25,0,4,1,0.4681,0.29,0.0176,0.0434,0.0474,0.0423,0.0377,0.0535,4.5,3.2,6,9,5,1,3.5,4
784,2022,20,0.2,9.301,9,66.8,1,1,49,940000,29,0,5,2,0.3097,0.3081,0.0125,0.0846,0.0539,0.1514,0.0534,0.0264,4.5,3.2,6,9,5,1,3.5,4
785,2022,22,4,11.185,9,56.9,1,1,49,3040000,27,0,6,1,0.3301,0.4638,0.008,0.0642,0.0325,0.0333,0.0127,0.0554,4.5,3.2,6,9,5,1,3.5,4
786,2022,5,5.835,12.51,5,47.5,0,1,37,1160000,37,1,13,1,0.1729,0.5416,0.0092,0.081,0.0452,0.043,0.0242,0.0829,4.5,3.2,6,9,5,1,3.5,4
787,2022,18,3.877,12.461,8,54.7,1,1,44,930000,36,1,9,1,0.2043,0.5063,0.0111,0.0499,0.0188,0.0272,0.1235,0.0589,4.5,3.2,6,9,5,1,3.5,4
788,2022,13,8.597,10.425,7,57,0,1,38,1560000,38,1,9,3,0.3528,0.0585,0.0554,0.095,0.18,0.0454,0.1371,0.0758,4.5,3.2,6,9,5,1,3.5,4
789,2022,17,5.699,8.464,6,56.6,1,1,37,750000,33,1,5,3,0.4078,0.1221,0.032,0.1471,0.1334,0.0729,0.0432,0.0415,4.5,3.2,6,9,5,1,3.5,4
790,2022,5,7.584,13.834,6,54.1,1,1,46,1070000,23,1,4,1,0.5011,0.182,0.0235,0.085,0.1096,0.032,0.0362,0.0306,4.5,3.2,6,9,5,1,3.5,4
791,2022,2,7.088,7.346,8,50.7,1,1,39,710000,37,1,7,2,0.6429,0.016,0.0203,0.103,0.0608,0.0256,0.0292,0.1022,4.5,3.2,6,9,5,1,3.5,4
792,2022,16,5.868,12.588,7,55.6,1,0,45,790000,31,0,4,1,0.1823,0.682,0.0083,0.0329,0.0461,0.0243,0.0117,0.0124,4.5,3.2,6,9,5,1,3.5,4
793,2022,22,2.273,12.233,6,42.8,0,0,45,1080000,33,0,8,1,0.1814,0.6374,0.0132,0.0402,0.0162,0.0434,0.0373,0.0309,4.5,3.2,6,9,5,1,3.5,4
794,2022,18,0.2,12.776,8,60.4,0,0,42,1370000,44,1,3,1,0.2115,0.5725,0.0105,0.0816,0.0279,0.029,0.0428,0.0242,4.5,3.2,6,9,5,1,3.5,4
795,2022,11,6.88,9.05,5,56.6,1,1,49,2050000,60,0,12,4,0.4722,0.076,0.0273,0.0761,0.1726,0.047,0.0598,0.069,4.5,3.2,6,9,5,1,3.5,4
796,2022,2,6.067,7.859,9,55.5,1,1,45,840000,31,1,9,4,0.6173,0.0307,0.0436,0.0811,0.0373,0.0768,0.064,0.0492,4.5,3.2,6,9,5,1,3.5,4
797,2022,7,5.281,11.722,8,50.7,0,1,39,630000,41,1,11,1,0.3146,0.3553,0.0183,0.1011,0.0464,0.0759,0.0769,0.0115,4.5,3.2,6,9,5,1,3.5,4
798,2022,6,2.111,12.54,8,55.7,0,1,45,2210000,55,1,5,1,0.2166,0.5515,0.0093,0.0666,0.0185,0.0903,0.0118,0.0354,4.5,3.2,6,9,5,1,3.5,4
799,2022,20,1.734,8.774,10,61.2,1,1,46,1890000,24,0,3,1,0.3188,0.137,0.0236,0.202,0.0651,0.1407,0.0462,0.0666,4.5,3.2,6,9,5,1,3.5,4
800,2022,9,5.445,10.407,8,73.7,1,1,44,2280000,48,0,9,3,0.2677,0.3023,0.0213,0.0805,0.0499,0.0738,0.028,0.1765,4.5,3.2,6,9,5,1,3.5,4
801,2022,10,2.275,5.455,7,57,0,1,42,1960000,56,1,8,2,0.1994,0.0236,0.0372,0.1126,0.0223,0.2068,0.1676,0.2305,4.5,3.2,6,9,5,1,3.5,4
802,2022,14,4.32,10.377,7,59.5,1,1,34,1360000,48,0,8,3,0.3877,0.2995,0.0444,0.0822,0.0433,0.0697,0.047,0.0262,4.5,3.2,6,9,5,1,3.5,4
803,2022,13,4.619,12.292,6,46.6,0,0,46,870000,30,1,8,2,0.1318,0.686,0.0073,0.0457,0.0241,0.0382,0.0303,0.0366,4.5,3.2,6,9,5,1,3.5,4
804,2022,14,7.835,12.2,8,46.8,0,0,46,1200000,47,1,9,3,0.2941,0.4348,0.0164,0.0543,0.0963,0.0308,0.033,0.0403,4.5,3.2,6,9,5,1,3.5,4
805,2022,21,4.758,1.646,9,75.3,1,1,44,1730000,56,0,9,3,0.1,0.005,0.1091,0.1868,0.0415,0.0873,0.2531,0.2172,4.5,3.2,6,9,5,1,3.5,4
806,2022,5,6.557,13.714,9,69.3,1,0,46,2640000,36,0,6,1,0.2141,0.4557,0.0108,0.0649,0.0599,0.0772,0.0919,0.0255,4.5,3.2,6,9,5,1,3.5,4
807,2022,11,5.818,8.292,8,84.7,1,1,37,1750000,23,0,14,3,0.6035,0.0192,0.0149,0.0884,0.0778,0.0533,0.0876,0.0553,4.5,3.2,6,9,5,1,3.5,4
808,2022,16,3.59,10.979,10,67,1,1,47,2230000,33,1,5,2,0.1612,0.4533,0.0072,0.1039,0.0557,0.0766,0.1098,0.0323,4.5,3.2,6,9,5,1,3.5,4
809,2022,13,4.472,9.462,6,61.7,0,1,39,870000,18,0,9,3,0.4763,0.1219,0.0172,0.1239,0.0344,0.1368,0.0262,0.0633,4.5,3.2,6,9,5,1,3.5,4
810,2022,22,0.764,13.329,6,47.1,1,0,56,2710000,42,0,13,1,0.2396,0.5145,0.0083,0.0501,0.0338,0.0978,0.0205,0.0354,4.5,3.2,6,9,5,1,3.5,4
811,2022,20,1.651,11.461,7,56.9,0,0,44,720000,37,1,10,1,0.3797,0.4897,0.0137,0.014,0.01,0.0249,0.0463,0.0217,4.5,3.2,6,9,5,1,3.5,4
812,2022,1,4.778,11.033,8,70.8,1,1,41,1480000,25,0,9,2,0.243,0.5055,0.02,0.071,0.053,0.0465,0.0456,0.0154,4.5,3.2,6,9,5,1,3.5,4
813,2022,5,5.123,12.809,6,47.6,1,0,43,760000,32,1,6,1,0.096,0.6326,0.0098,0.0685,0.0758,0.0739,0.0181,0.0253,4.5,3.2,6,9,5,1,3.5,4
814,2022,5,6.685,12.558,5,39.3,0,0,38,1150000,31,1,8,2,0.1792,0.5854,0.0279,0.0626,0.0497,0.0466,0.0269,0.0217,4.5,3.2,6,9,5,1,3.5,4
815,2022,16,4.654,12.442,9,49.6,1,1,45,1600000,30,0,6,1,0.3807,0.4458,0.0121,0.0532,0.0326,0.0332,0.0324,0.01,4.5,3.2,6,9,5,1,3.5,4
816,2022,12,7.479,6.378,8,53.3,0,0,44,670000,45,1,7,2,0.2848,0.0145,0.1315,0.1745,0.0868,0.0426,0.1672,0.0981,4.5,3.2,6,9,5,1,3.5,4
817,2022,15,5.409,7.979,7,54.7,1,0,43,880000,40,1,10,3,0.5748,0.0305,0.0158,0.0955,0.0464,0.0813,0.067,0.0887,4.5,3.2,6,9,5,1,3.5,4
818,2022,11,3.938,8.614,6,58.9,1,1,40,1020000,29,1,10,2,0.7466,0.0433,0.0066,0.0438,0.0148,0.0611,0.0388,0.045,4.5,3.2,6,9,5,1,3.5,4
819,2022,17,9.149,6.849,8,65.1,1,1,45,710000,35,1,8,1,0.1312,0.0724,0.0832,0.1547,0.2337,0.0438,0.1359,0.1451,4.5,3.2,6,9,5,1,3.5,4
820,2022,5,9.096,10.659,7,72.4,1,1,52,2930000,33,0,9,1,0.5242,0.0568,0.0291,0.0655,0.161,0.0381,0.0732,0.0521,4.5,3.2,6,9,5,1,3.5,4
821,2022,18,1.749,14.684,8,59.3,0,0,33,1740000,53,1,8,1,0.0443,0.791,0.0068,0.0177,0.0179,0.062,0.0416,0.0187,4.5,3.2,6,9,5,1,3.5,4
822,2022,17,2.492,7.04,7,45.4,0,0,33,830000,50,0,5,1,0.2712,0.0813,0.0378,0.2086,0.0133,0.151,0.116,0.1208,4.5,3.2,6,9,5,1,3.5,4
823,2022,9,5.514,12.867,8,60.6,0,1,41,850000,44,0,5,1,0.1057,0.7323,0.0146,0.0218,0.0438,0.0255,0.0211,0.0352,4.5,3.2,6,9,5,1,3.5,4
824,2022,16,4.258,13.077,7,54.9,0,0,34,1030000,28,1,6,1,0.0416,0.9039,0.0053,0.0192,0.0065,0.0151,0.0056,0.0028,4.5,3.2,6,9,5,1,3.5,4
825,2022,12,4.822,5.769,7,61.2,0,1,41,1310000,38,0,13,4,0.22,0.0294,0.0295,0.3116,0.0194,0.0968,0.206,0.0873,4.5,3.2,6,9,5,1,3.5,4
826,2022,5,7.155,12.182,7,49.4,0,0,43,2050000,43,0,9,1,0.2287,0.4664,0.0218,0.0627,0.143,0.0133,0.0279,0.0362,4.5,3.2,6,9,5,1,3.5,4
827,2022,5,5.118,14.8,7,69.1,1,1,50,950000,60,0,5,1,0.1702,0.6403,0.0104,0.0751,0.0297,0.026,0.0153,0.033,4.5,3.2,6,9,5,1,3.5,4
828,2022,1,5.544,9.308,9,55.5,1,1,46,1170000,31,1,13,4,0.236,0.0697,0.0432,0.1934,0.0527,0.116,0.1507,0.1383,4.5,3.2,6,9,5,1,3.5,4
829,2022,4,8.009,7.26,7,61.1,1,0,47,2080000,50,0,13,3,0.463,0.0284,0.05,0.0633,0.142,0.0298,0.1047,0.1188,4.5,3.2,6,9,5,1,3.5,4
830,2022,7,3.558,7.669,8,58.4,1,0,43,980000,42,0,7,3,0.4139,0.0511,0.0208,0.138,0.0478,0.0785,0.1103,0.1396,4.5,3.2,6,9,5,1,3.5,4
831,2022,9,6.193,12.432,8,58.3,0,1,43,1180000,26,1,7,1,0.2432,0.2963,0.0291,0.0509,0.1902,0.07,0.0189,0.1014,4.5,3.2,6,9,5,1,3.5,4
832,2022,13,4.543,6.461,6,53.2,0,0,43,1080000,37,1,6,3,0.2225,0.0101,0.0165,0.215,0.0239,0.1861,0.0866,0.2393,4.5,3.2,6,9,5,1,3.5,4
833,2022,1,2.529,6.314,7,55.1,0,1,30,790000,38,0,8,2,0.2524,0.0515,0.0111,0.1026,0.0139,0.3332,0.1332,0.1021,4.5,3.2,6,9,5,1,3.5,4
834,2022,2,8.987,7.998,6,39.7,0,0,42,880000,36,1,8,2,0.2484,0.0566,0.0521,0.0465,0.4681,0.0413,0.0545,0.0325,4.5,3.2,6,9,5,1,3.5,4
835,2022,4,7.582,5.339,8,76,1,1,45,1370000,40,0,9,3,0.2889,0.021,0.1443,0.096,0.0612,0.0356,0.0969,0.2561,4.5,3.2,6,9,5,1,3.5,4
836,2022,3,10.382,9.662,7,63.1,1,1,41,1620000,46,1,8,3,0.3967,0.0404,0.0511,0.1018,0.2301,0.0315,0.067,0.0814,4.5,3.2,6,9,5,1,3.5,4
837,2022,18,3.458,9.015,9,66.3,1,1,45,2070000,52,0,9,2,0.2638,0.1202,0.0227,0.294,0.0568,0.1225,0.0779,0.0421,4.5,3.2,6,9,5,1,3.5,4
838,2022,22,4.27,14.8,6,49.2,0,0,46,460000,46,1,7,1,0.1394,0.6674,0.0072,0.0581,0.0303,0.0453,0.0351,0.0172,4.5,3.2,6,9,5,1,3.5,4
839,2022,20,0.2,10.263,7,57.6,1,1,46,1380000,30,0,7,1,0.2958,0.2863,0.0158,0.0788,0.051,0.1786,0.0541,0.0396,4.5,3.2,6,9,5,1,3.5,4
840,2022,13,6.907,9.136,7,75.9,1,1,46,5100000,32,0,15,4,0.2716,0.2238,0.0517,0.1376,0.1419,0.0326,0.0426,0.0982,4.5,3.2,6,9,5,1,3.5,4
841,2022,17,9.284,8.215,8,56.3,0,0,41,1800000,24,1,7,2,0.4851,0.0282,0.0847,0.0554,0.2351,0.0248,0.0371,0.0496,4.5,3.2,6,9,5,1,3.5,4
842,2022,10,1.133,5.035,9,61.2,1,1,40,2240000,27,0,11,3,0.2736,0.022,0.0349,0.1052,0.036,0.3146,0.1459,0.0678,4.5,3.2,6,9,5,1,3.5,4
843,2022,5,6.937,11.54,7,65.1,1,1,45,1510000,33,0,3,1,0.2927,0.1712,0.0431,0.1617,0.1509,0.0522,0.0794,0.0488,4.5,3.2,6,9,5,1,3.5,4
844,2022,13,5.051,10.386,6,43.5,0,1,42,410000,28,1,6,2,0.2999,0.2727,0.0234,0.0924,0.0698,0.0502,0.0974,0.0942,4.5,3.2,6,9,5,1,3.5,4
845,2022,9,3.411,11.41,7,61.2,1,1,39,2260000,33,1,14,2,0.3595,0.3717,0.0112,0.0648,0.0255,0.0406,0.0377,0.089,4.5,3.2,6,9,5,1,3.5,4
846,2022,22,0.2,14.8,8,44.8,0,0,42,610000,51,1,6,1,0.2604,0.5031,0.0076,0.073,0.0383,0.0634,0.0357,0.0185,4.5,3.2,6,9,5,1,3.5,4
847,2022,5,7.883,10.706,9,58.1,0,1,43,1060000,39,1,5,2,0.4268,0.1103,0.0235,0.0765,0.188,0.0888,0.0217,0.0644,4.5,3.2,6,9,5,1,3.5,4
848,2022,8,9.913,5.833,9,69.8,1,1,41,2470000,54,0,13,3,0.1266,0.0377,0.1688,0.0618,0.2614,0.0245,0.1432,0.176,4.5,3.2,6,9,5,1,3.5,4
849,2022,19,9.215,8.728,8,68.9,1,0,39,1040000,44,0,6,2,0.1603,0.028,0.0598,0.1024,0.3004,0.039,0.1047,0.2054,4.5,3.2,6,9,5,1,3.5,4
850,2022,5,5.884,14.011,8,44.8,0,0,52,1000000,54,1,6,1,0.2126,0.5415,0.0295,0.0945,0.0221,0.0328,0.0387,0.0283,4.5,3.2,6,9,5,1,3.5,4
851,2022,7,6.821,10.326,10,60.4,0,1,36,1760000,19,1,6,2,0.3553,0.2506,0.0737,0.1099,0.0586,0.0449,0.0696,0.0374,4.5,3.2,6,9,5,1,3.5,4
852,2022,19,9.426,10.652,6,54.4,1,1,40,2480000,41,0,8,1,0.3236,0.1571,0.0594,0.1012,0.1751,0.0244,0.048,0.1112,4.5,3.2,6,9,5,1,3.5,4
853,2022,22,1.632,13.804,7,44,1,0,34,1000000,52,0,3,1,0.0979,0.7143,0.0078,0.0471,0.0383,0.0327,0.0325,0.0294,4.5,3.2,6,9,5,1,3.5,4
854,2022,14,7.714,14.469,7,54.2,0,0,34,1630000,30,1,2,1,0.1974,0.4575,0.0254,0.0654,0.0891,0.0509,0.0307,0.0836,4.5,3.2,6,9,5,1,3.5,4
855,2022,15,3.317,9.38,8,60.1,1,1,42,410000,24,1,10,3,0.2161,0.3938,0.0278,0.11,0.0415,0.0667,0.0818,0.0623,4.5,3.2,6,9,5,1,3.5,4
856,2022,10,2.391,4.729,8,58.1,0,1,39,850000,39,0,6,3,0.1292,0.0281,0.0712,0.0729,0.0301,0.2949,0.2894,0.0842,4.5,3.2,6,9,5,1,3.5,4
857,2022,10,1.066,5.144,8,69.9,1,0,43,1410000,41,0,10,2,0.2167,0.0632,0.0323,0.1482,0.0119,0.267,0.1094,0.1513,4.5,3.2,6,9,5,1,3.5,4
858,2022,13,5.86,9.977,8,52.6,0,1,45,1290000,44,0,9,2,0.3604,0.1217,0.0562,0.1078,0.1049,0.093,0.0452,0.1108,4.5,3.2,6,9,5,1,3.5,4
859,2022,14,5.751,10.786,7,65.2,1,1,42,2140000,35,0,10,2,0.4401,0.2041,0.0187,0.0525,0.1036,0.051,0.0588,0.0712,4.5,3.2,6,9,5,1,3.5,4
860,2022,16,5.061,11.187,7,67.8,1,1,42,1040000,21,1,7,2,0.4063,0.2826,0.0304,0.0535,0.0711,0.0679,0.0461,0.0421,4.5,3.2,6,9,5,1,3.5,4
861,2022,15,4.896,9.893,8,60.9,0,1,50,1790000,63,0,10,2,0.5275,0.117,0.0132,0.1074,0.0366,0.0463,0.0899,0.0621,4.5,3.2,6,9,5,1,3.5,4
862,2022,2,10.456,8.789,7,30,0,0,47,610000,37,0,3,1,0.2483,0.0508,0.0766,0.0835,0.2495,0.0484,0.1169,0.126,4.5,3.2,6,9,5,1,3.5,4
863,2022,8,10.859,2.666,9,62.4,1,1,39,1460000,23,1,9,2,0.1229,0.0053,0.3062,0.1187,0.1287,0.0205,0.1623,0.1354,4.5,3.2,6,9,5,1,3.5,4
864,2022,21,3.816,6.201,6,69.9,1,0,42,2380000,68,0,10,3,0.2754,0.0224,0.0204,0.2837,0.0663,0.1647,0.0927,0.0744,4.5,3.2,6,9,5,1,3.5,4
865,2022,19,6.75,10.612,6,37,0,0,48,790000,26,1,8,3,0.3523,0.157,0.0184,0.0438,0.224,0.0445,0.0771,0.0829,4.5,3.2,6,9,5,1,3.5,4
866,2022,7,4.525,11.283,6,38.9,0,0,56,600000,31,1,3,1,0.2903,0.4231,0.0174,0.0769,0.0453,0.0577,0.0632,0.0261,4.5,3.2,6,9,5,1,3.5,4
867,2022,22,0.2,14.8,8,56.2,0,1,41,750000,37,0,6,1,0.3106,0.4869,0.0026,0.0701,0.0281,0.0343,0.0456,0.0218,4.5,3.2,6,9,5,1,3.5,4
868,2022,7,3.706,8.423,7,60.7,1,0,36,1060000,34,1,10,1,0.5427,0.1061,0.0193,0.0699,0.0434,0.1179,0.0564,0.0443,4.5,3.2,6,9,5,1,3.5,4
869,2022,22,5.585,11.762,7,32.8,0,0,50,1040000,28,1,5,2,0.2562,0.2737,0.0191,0.1202,0.1043,0.0256,0.1207,0.0802,4.5,3.2,6,9,5,1,3.5,4
870,2022,17,8.016,7.473,7,62.9,1,1,31,1630000,51,0,7,3,0.1813,0.0386,0.0697,0.3197,0.1789,0.0522,0.0829,0.0767,4.5,3.2,6,9,5,1,3.5,4
871,2022,5,7.533,13.985,7,62.9,1,0,41,2190000,38,0,8,2,0.2631,0.331,0.0134,0.0558,0.0926,0.0794,0.1225,0.0422,4.5,3.2,6,9,5,1,3.5,4
872,2022,21,5.039,5.881,8,59.6,1,1,40,1800000,34,1,12,4,0.1855,0.0225,0.0543,0.195,0.0567,0.2518,0.1392,0.095,4.5,3.2,6,9,5,1,3.5,4
873,2022,9,6.606,12.983,9,47.3,0,0,48,1020000,36,0,0,1,0.1631,0.4706,0.0158,0.0603,0.0624,0.1289,0.0414,0.0575,4.5,3.2,6,9,5,1,3.5,4
874,2022,22,0.2,10.916,8,48.1,0,1,38,1120000,32,0,2,1,0.3291,0.2736,0.0344,0.0732,0.0165,0.1447,0.0481,0.0804,4.5,3.2,6,9,5,1,3.5,4
875,2022,19,9.702,13.978,8,79.5,1,1,39,1290000,45,0,9,1,0.3855,0.2141,0.0522,0.0291,0.2083,0.0445,0.0384,0.0279,4.5,3.2,6,9,5,1,3.5,4
876,2022,10,2.583,4.17,10,59.3,1,0,49,2570000,36,1,10,3,0.0697,0.0158,0.0203,0.2644,0.0255,0.3406,0.1718,0.0919,4.5,3.2,6,9,5,1,3.5,4
877,2022,16,4.422,13.249,6,41.7,0,0,41,1340000,31,1,4,1,0.0695,0.8437,0.0102,0.0267,0.0113,0.0098,0.0115,0.0173,4.5,3.2,6,9,5,1,3.5,4
878,2022,22,3.153,14.8,7,50.8,1,0,37,1580000,51,1,6,1,0.2258,0.5963,0.0034,0.0192,0.04,0.0509,0.0241,0.0403,4.5,3.2,6,9,5,1,3.5,4
879,2022,7,4.999,9.02,4,61.8,1,1,31,1390000,41,0,9,2,0.5027,0.0804,0.0635,0.124,0.0486,0.0675,0.0801,0.0332,4.5,3.2,6,9,5,1,3.5,4
880,2022,10,0.576,5.291,7,69.1,1,1,51,2120000,49,1,13,3,0.3102,0.0785,0.0273,0.0945,0.0312,0.2491,0.1114,0.0978,4.5,3.2,6,9,5,1,3.5,4
881,2022,22,0.803,11.542,8,77.3,1,1,40,2810000,33,1,11,2,0.2576,0.3849,0.0034,0.1469,0.0211,0.0658,0.0427,0.0776,4.5,3.2,6,9,5,1,3.5,4
882,2022,15,5.51,12.99,7,50.4,0,0,45,890000,30,1,11,1,0.225,0.3725,0.0246,0.0607,0.1294,0.1002,0.0301,0.0575,4.5,3.2,6,9,5,1,3.5,4
883,2022,5,5.758,12.515,6,37.3,0,0,46,1190000,32,0,5,1,0.2043,0.6156,0.0097,0.0305,0.0417,0.0403,0.035,0.0229,4.5,3.2,6,9,5,1,3.5,4
884,2022,14,9.013,11.601,7,53.6,0,1,43,1390000,34,1,10,1,0.3401,0.116,0.0439,0.1582,0.1717,0.0906,0.0481,0.0314,4.5,3.2,6,9,5,1,3.5,4
885,2022,16,3.908,11.419,7,60.1,0,1,44,1200000,45,1,9,3,0.3511,0.3395,0.0102,0.0614,0.0546,0.0736,0.0346,0.075,4.5,3.2,6,9,5,1,3.5,4
886,2022,4,7.644,7.667,8,66.1,1,0,41,2090000,26,1,11,2,0.3679,0.0734,0.1214,0.0658,0.0898,0.0461,0.0713,0.1643,4.5,3.2,6,9,5,1,3.5,4
887,2022,13,4.491,10.132,6,56.7,1,1,45,3200000,25,0,10,2,0.1686,0.2166,0.0465,0.0558,0.0924,0.142,0.1513,0.1268,4.5,3.2,6,9,5,1,3.5,4
888,2022,14,6.742,10.123,8,46.7,1,1,57,590000,35,1,3,1,0.4279,0.2354,0.0185,0.0652,0.086,0.0638,0.047,0.0562,4.5,3.2,6,9,5,1,3.5,4
889,2022,22,4.211,13.093,9,64.2,1,1,42,780000,53,0,10,1,0.163,0.674,0.0091,0.0585,0.0224,0.0388,0.02,0.0142,4.5,3.2,6,9,5,1,3.5,4
890,2022,3,7.616,10.311,6,49,0,0,47,1520000,45,0,5,3,0.5789,0.0788,0.0249,0.0589,0.1038,0.0527,0.0634,0.0386,4.5,3.2,6,9,5,1,3.5,4
891,2022,7,6.091,10.322,7,59.5,1,1,32,1750000,29,1,8,1,0.4038,0.2364,0.0079,0.0911,0.1128,0.0654,0.0407,0.0419,4.5,3.2,6,9,5,1,3.5,4
892,2022,5,9.17,11.842,6,53.6,1,0,31,780000,40,0,1,1,0.312,0.0885,0.0342,0.0454,0.3248,0.0335,0.0983,0.0633,4.5,3.2,6,9,5,1,3.5,4
893,2022,1,6.172,5.715,8,47.3,1,0,50,1160000,60,1,5,4,0.2189,0.0327,0.039,0.1391,0.0218,0.0983,0.2899,0.1603,4.5,3.2,6,9,5,1,3.5,4
894,2022,5,5.685,12.2,7,63.9,0,1,57,1230000,41,1,5,2,0.1662,0.618,0.0174,0.0429,0.0321,0.0398,0.0689,0.0147,4.5,3.2,6,9,5,1,3.5,4
895,2022,22,3.259,12.319,7,53.5,1,0,46,1550000,43,1,10,1,0.2326,0.6118,0.0185,0.0294,0.0196,0.0641,0.0098,0.0142,4.5,3.2,6,9,5,1,3.5,4
896,2022,22,2.466,14.784,7,53.5,0,0,45,960000,54,1,5,1,0.1103,0.7544,0.0052,0.0302,0.0336,0.0312,0.0169,0.0182,4.5,3.2,6,9,5,1,3.5,4
897,2022,6,3.32,12.498,8,69.3,1,0,48,1960000,35,1,10,2,0.1731,0.6732,0.0035,0.0332,0.0194,0.0554,0.0114,0.0308,4.5,3.2,6,9,5,1,3.5,4
898,2022,20,0.396,7.637,6,46.8,0,1,40,1420000,58,0,9,1,0.2888,0.1233,0.0322,0.0432,0.0172,0.3282,0.0851,0.082,4.5,3.2,6,9,5,1,3.5,4
899,2022,11,5.705,9.719,7,50.9,0,1,43,960000,19,0,3,1,0.557,0.1398,0.017,0.0538,0.0585,0.0645,0.0253,0.0841,4.5,3.2,6,9,5,1,3.5,4
900,2022,21,4.442,5.052,8,73.6,1,1,48,1130000,39,0,6,4,0.1662,0.0119,0.0289,0.2894,0.0158,0.1345,0.1074,0.2459,4.5,3.2,6,9,5,1,3.5,4
901,2022,5,7.019,9.591,7,63.1,1,1,44,1300000,18,1,11,4,0.2537,0.0656,0.0471,0.1326,0.2752,0.0442,0.0633,0.1183,4.5,3.2,6,9,5,1,3.5,4
902,2022,13,8.447,9.393,6,36.8,1,0,44,1070000,48,1,2,2,0.3988,0.1112,0.0783,0.1725,0.0691,0.0207,0.0602,0.0892,4.5,3.2,6,9,5,1,3.5,4
903,2022,2,9.134,8.928,9,66.2,1,1,45,4110000,31,1,10,2,0.6476,0.0143,0.0419,0.0381,0.1374,0.0169,0.0386,0.0652,4.5,3.2,6,9,5,1,3.5,4
904,2022,22,1.216,14.124,8,34.4,0,0,49,770000,39,1,4,1,0.2013,0.412,0.0042,0.0507,0.1197,0.1338,0.0316,0.0467,4.5,3.2,6,9,5,1,3.5,4
905,2022,5,8.726,13.101,6,52.4,0,0,47,1310000,18,1,6,1,0.1737,0.3028,0.0263,0.091,0.2034,0.043,0.0431,0.1167,4.5,3.2,6,9,5,1,3.5,4
906,2022,12,7.549,4.975,9,76.6,1,1,47,1420000,34,1,10,3,0.3041,0.0109,0.0917,0.1987,0.062,0.0387,0.1242,0.1697,4.5,3.2,6,9,5,1,3.5,4
907,2022,10,2.59,6.5,6,37.9,0,0,44,1080000,32,0,9,3,0.158,0.0547,0.0477,0.0575,0.0458,0.3843,0.1488,0.1032,4.5,3.2,6,9,5,1,3.5,4
908,2022,21,10.651,4.734,8,56.2,1,1,48,570000,28,1,10,3,0.3698,0.0091,0.2145,0.0513,0.0628,0.0138,0.0964,0.1823,4.5,3.2,6,9,5,1,3.5,4
909,2022,14,7.666,12.277,8,58.6,0,1,47,1520000,49,0,8,2,0.3123,0.3486,0.0122,0.0457,0.1535,0.0169,0.0672,0.0436,4.5,3.2,6,9,5,1,3.5,4
910,2022,21,5.945,2.97,8,74.8,1,1,39,3150000,43,1,12,5,0.0669,0.0092,0.1805,0.0654,0.0658,0.0434,0.3936,0.1752,4.5,3.2,6,9,5,1,3.5,4
